,context
262,"Môn học Tiếng Nhật trình độ 6 với mã số JAN06 được thiết kế để trang bị cho sinh viên kiến thức tiếng Nhật ở mức độ Trung cấp 2 (tương ứng trình độ N3) bao quát các kỹ năng nghe, nói, đọc, viết. Bên cạnh nền tảng kiến thức, môn học còn tập trung rèn luyện khả năng vận dụng ngôn ngữ hiệu quả nhằm nâng cao năng lực giao tiếp của sinh viên."
263,"Môn học CE317 là môn học Điều khiển tự động nâng cao. Tóm tắt nội dung môn học như sau: Môn học này tập trung vào các phương pháp thiết kế bộ điều khiển cho hệ thống tự động, nhằm đảm bảo độ dự trữ, tính ổn định bền vững khi vận hành và chất lượng khi tối ưu hóa thiết kế của hệ thống trong điều kiện ràng buộc của chế độ làm việc được đặt ra."
264,"Môn học CE213 là Thiết kế hệ thống số với HDL. Nội dung môn học được tóm tắt như sau: Giới thiệu tổng quan về thiết kế mạch logic, phương pháp thiết kế vi mạch fron-end và ngôn ngữ mô tả phần cứng VHDL&Verilog."
265,"Môn học với mã JAN02 là Tiếng Nhật 2, trang bị cho sinh viên kiến thức ngôn ngữ Nhật ở mức sơ cấp 2 (tương đương N5), gồm các kỹ năng nghe, nói, đọc, viết. Môn học cũng cung cấp kiến thức cơ bản về Hán tự."
266,"Môn 'Phân tích thiết kế hệ thống thông tin' (mã môn IS201) cung cấp sinh viên các lý thuyết và thủ thuật để phân tích và xây dựng hệ thống thông tin (HTTT). Sinh viên sẽ tìm hiểu cách vận hành hệ thống HTTT với hai thành phần: dữ liệu (tĩnh) và xử lý (động). Về dữ liệu, môn học này sẽ mở rộng kiến thức về mô hình dữ liệu học sinh đã học trong môn Cơ sở dữ liệu, cụ thể là mô hình dữ liệu quan hệ và đối tượng hướng. Sinh viên cũng sẽ được trang bị các kỹ năng phân tích, thiết kế HTTT thông qua mô hình dòng dữ liệu DFD hoặc mô hình đối tượng (ngôn ngữ mô tả UML) để giải quyết các vấn đề thực tế. Ngoài ra, sinh viên sẽ được hướng dẫn sử dụng công cụ hỗ trợ phân tích, thiết kế. Dự án môn học sẽ dựa trên một bài toán thực tế, được thực hiện theo nhóm gồm hai sinh viên trở lên, nhằm rèn luyện các kỹ năng phân tích, thiết kế, giao tiếp và làm việc nhóm."
267,"Môn Xây dựng hệ thống thông tin trên framework, có mã môn là IS220. Tóm tắt nội dung môn học như sau: Môn học trình bày về bản chất, đặc tính và ứng dụng của công nghệ framework trong xây dựng các ứng dụng hệ thống thông tin. Ngoài ra, môn học còn hướng dẫn sinh viên các phương pháp chuyên sâu trong xây dựng ứng dụng hệ thống thông tin dựa trên nền tảng framework."
268,"Môn Đồ án chuyên ngành (NT114) yêu cầu sinh viên tổng hợp và vận dụng những kiến thức, kỹ năng đã trang bị nhằm giải quyết một vấn đề thực tế liên quan đến chuyên ngành đào tạo dưới sự hướng dẫn của giảng viên."
269,"Môn học CE232 là môn Thiết kế hệ thống nhúng không dây. Nội dung môn học được tóm tắt như sau: ▪ Giới thiệu về kiến trúc hệ thống nhúng tích hợp ngoại vi, bao gồm kiến trúc của một end node trong hệ thống Internet of Things. ▪ Mô hình tích hợp phần cứng và phần mềm trên hệ thống nhúng tích hợp ngoại vi, bao gồm bootloader, kernel, OS, driver... ▪ Giới thiệu các phương pháp thiết kế hệ thống nhúng tích hợp ngoại vi. ▪ Cung cấp kiến thức về phân tích và thiết kế một hệ thống nhúng phức tạp có tích hợp bộ nhớ, module ngoại vi và module giao tiếp mạng/module giao tiếp không dây. ▪ Sinh viên sẽ được thực hành và tự thiết kế một hệ thống nhúng ứng dụng trong một giải pháp Internet of Things."
270,"Môn học Chuyên đề CSDL nâng cao được ký hiệu là SE332. Nội dung chính bao gồm: cung cấp kiến thức bổ sung về cơ sở dữ liệu, bao gồm quy trình xây dựng cơ sở dữ liệu thực tiễn, lưu trữ cơ sở dữ liệu trên bộ nhớ ngoài, thực hiện và tối ưu truy vấn, kiểm tra tính nhất quán."
271,"Môn Quản lý dự án hệ thống thông tin (MSIS3033) trang bị kiến thức toàn diện về các yếu tố thiết yếu trong việc lên kế hoạch, thực thi và giám sát thành công một dự án hệ thống thông tin. Nội dung bao gồm các chủ đề về hành vi, chiến lược, kỹ thuật, vận hành, đo lường, giao tiếp và quản lý rủi ro, giúp sinh viên nắm vững các nguyên tắc và phương pháp trong lĩnh vực này."
272,"Môn Thực tập tốt nghiệp, ký hiệu là IS212, yêu cầu sinh viên thực hiện thực tập tại các doanh nghiệp và nộp báo cáo thực tập về Khoa."
273,"Môn Chuyên đề J2EE còn được biết đến với mã môn học SE325. Nội dung của môn học xoay quanh kiến thức nền tảng về các thành phần của J2EE, bao gồm lập trình web bằng servlet và JSP cũng như kiến trúc MVC thông qua Struts và Spring. Sinh viên tham gia môn học này sẽ nắm vững các kỹ năng cần thiết để phân tích và thiết kế các hệ thống J2EE toàn diện."
274,"Môn học Dịch máy có mã môn học là CS325. Tóm tắt nội dung môn học như sau: Dịch máy là một lĩnh vực trong ngôn ngữ học máy tính, nghiên cứu về phần mềm máy tính dùng để dịch văn bản hoặc tiếng nói từ một ngôn ngữ tự nhiên sang một ngôn ngữ khác. Ở mức độ căn bản, MT chỉ đơn giản là thay thế các từ trong một ngôn ngữ tự nhiên bằng các từ thuộc ngôn ngữ khác. Với kỹ thuật ngữ liệu, chúng ta có thể dịch được những văn bản phức tạp hơn, cho phép xử lý tốt hơn với các loại hình ngôn ngữ khác nhau, nhận dạng cụm từ và thành ngữ."
275,"Môn Trí tuệ nhân tạo (mã môn: CS4793) bao quát những khái niệm cốt lõi của trí tuệ nhân tạo, bao gồm giải quyết vấn đề, suy luận logic và biểu diễn kiến thức, ngôn ngữ trí tuệ nhân tạo, cũng như nguồn gốc và triết lý về trí tuệ nhân tạo."
276,"Môn Pháp luật thương mại điện tử có mã là EC229. Về nội dung, môn học sẽ cung cấp cho sinh viên kiến thức về các quy định pháp luật, chính sách liên quan đến thương mại điện tử trong và ngoài nước. Đặc biệt, môn học đề cập đến những quy định điều chỉnh riêng cho các hoạt động mua bán trên môi trường trực tuyến, các quy định về thông tin cá nhân, bản quyền,... và xử lý các vấn đề liên quan phát sinh trên Internet."
277,"Môn học Máy học có mã môn học là CS114. Tóm tắt nội dung môn học như sau: Môn học cung cấp kiến thức cơ bản về Máy học. Nội dung chính bao gồm: 
- Giới thiệu tổng quan về máy học, bao gồm khái niệm, lịch sử và ứng dụng của Máy học, cùng với các công cụ, công nghệ và thách thức hiện nay.
- Các cách sử dụng máy học để giải quyết vấn đề, bao gồm các bài toán tiêu biểu như hồi quy, phân lớp, gom cụm và các phương pháp cơ bản để giải quyết.
- Áp dụng các phương pháp và kỹ thuật máy học cơ bản để giải quyết các bài toán thực tế."
278,"Môn học có tên là CS410, chuyên về Mạng neural và thuật giải di truyền. Nội dung môn học bao gồm kiến thức cơ bản về mạng nơ-ron và thuật giải di truyền, cùng với việc giới thiệu các ứng dụng quan trọng của chúng."
279,"Môn Quản lý thông tin với mã số IE103 trình bày các kiến thức cơ bản về các lĩnh vực thu thập, tổ chức, mô hình hóa, chuyển đổi, thông báo, cũng như đảm bảo an toàn và bảo mật dữ liệu, thông tin. Những kiến thức này trang bị cho các chuyên gia CNTT kỹ năng thiết yếu để thực hiện các tác vụ quản lý, tích hợp, phát triển dữ liệu và thông tin trong bối cảnh doanh nghiệp."
280,"Môn học CE430 là môn học về Lập trình hệ thống. Nội dung môn học tóm tắt như sau: ▪ Môn học này giới thiệu các khái niệm cơ bản về ngôn ngữ Java như kiểu dữ liệu, cấu trúc lặp điều khiển, hướng đối tượng bao gồm đối tượng, thể hiện, lớp, thừa kế, giao diện, đa hình. Các khái niệm về lập trình giao diện như applet, swing GUI. Các khái niệm về lập trình hệ thống như mô hình client-server, socket, TCP, UDP.▪ Môn học cũng giúp học viên tìm hiểu và thực hành lập trình cơ bản, lập trình hướng đối tượng, lập trình giao diện, lập trình hệ thống qua các bài toán cụ thể."
281,"Môn học CE331 là môn học Kỹ thuật chế tạo vi mạch. Tóm tắt nội dung môn học như sau: Môn học này cung cấp cho sinh viên kiến thức cơ bản về lịch sử phát triển ngành công nghiệp chế tạo vi mạch. Ngoài ra, môn học cũng trang bị kiến thức về qui trình sản xuất Wafer, qui trình chế tạo công nghệ bán dẫn và các phương pháp kiểm tra và đóng gói chip."
282,Môn học Mã số SS009 mang tên Chủ nghĩa xã hội khoa học. Nội dung môn học chủ yếu cung cấp cho người học những kiến thức cơ bản xoay quanh chủ đề Chủ nghĩa xã hội khoa học.
283,"Môn Phát triển ứng dụng trên thiết bị di động (NT118) trang bị cho sinh viên kiến thức và kỹ năng chuyên sâu:

- Phát triển ứng dụng di động trên nền tảng Android của Google.
- Thiết kế giao diện hiệu quả tối ưu cho thiết bị di động.
- Triển khai ứng dụng từ mô phỏng đến thiết bị thực tế.
- Tạo lập ứng dụng bản địa (native app) bằng Java trên Android.
- Xây dựng ứng dụng đa nền tảng bằng HTML, CSS và JavaScript.
- Tích hợp dịch vụ web từ Google và Amazon vào ứng dụng.
- Thu thập dữ liệu trên máy tính cá nhân và tại hiện trường bằng các công cụ chuyên dụng."
284,"**Đoạn văn đã được diễn đạt lại:**

Môn An toàn thông tin máy tính 4243 (CS4243) là một môn học cung cấp một cái nhìn toàn diện về cốt lõi của máy tính và an ninh mạng. Nội dung môn xoay quanh việc thảo luận các quá trình bên ngoài cần thiết cho hệ thống an ninh, bao gồm bảo mật dữ liệu, sao lưu và khôi phục giao dịch. Tập trung chính của môn học là phân tích sâu về mã hóa an toàn, giao thức, băm, ủy quyền và xác thực."
285,"Môn học CS106 là một môn học về Trí tuệ nhân tạo. Nội dung chính của môn học bao gồm lịch sử và phát triển của Trí tuệ nhân tạo, các hướng nghiên cứu và ứng dụng trong đời sống, các phương pháp giải quyết vấn đề và áp dụng, đặc biệt là thuật giải heuristic và chiến lược tìm kiếm, cũng như các phương pháp biểu diễn tri thức cơ bản và kỹ thuật suy diễn tự động."
286,Cử nhân ngành Công nghệ Thông tin (Áp dụng từ Khoá 18 - 2023) cử nhân liên thông chính quy. Hình thức đào tạo: Chính quy tập trung. Số tín chỉ đào tạo: Tối thiểu 52 tín chỉ (bao gồm cả ngoại ngữ). Thời gian đào tạo: 2 năm (4 học kỳ chính).
287,"Môn học có tên là Tổ chức ngôn ngữ lập trình và mã môn học là CS3363. Tóm tắt nội dung của môn học như sau: Xây dựng ngôn ngữ lập trình, các loại thực thi chương trình. Cấu trúc định nghĩa ngôn ngữ lập trình. Các cấu trúc điều khiển và các mô hình lập trình luồng dữ liệu."
288,"Môn Tiếng Anh Cơ sở 1 (mã môn ENGL1113) giới thiệu những kiến thức và kỹ năng cơ bản về tiếng Anh, tạo nền tảng vững chắc cho sinh viên tiếp thu hiệu quả các môn học tiếng Anh nâng cao sau này."
289,"**Đoạn văn được viết lại:**

Môn Một số thuật toán thông minh có mã là SE313. Mục đích của môn học là cung cấp cho sinh viên những kiến thức nền tảng về thuật toán và giới thiệu một số thuật toán hiện đại để giải quyết các vấn đề cơ bản."
290,"Môn Phân tích thống kê mang mã môn STAT3013 cung cấp cho sinh viên kỹ thuật các kiến thức lý thuyết và thực hành về: Ma trận và hệ phương trình tuyến tính, biến đổi tuyến tính, giá trị riêng và vectơ riêng. Nội dung cụ thể bao gồm: Logic, tập hợp; Ma trận, hệ phương trình tuyến tính; Không gian vectơ, hạng, ma trận nghịch đảo; Biến đổi tuyến tính; Giá trị riêng và vectơ riêng; Không gian Euclid, trực giao."
291,"Môn Anh văn 5 có mã môn ENG05, bao gồm 3 bài học từ giáo trình Collins English for Exams: Skills for the TOEIC Test: Speaking and Writing, tương ứng với 60 tiết học lý thuyết trải dài trong 12 tuần. Môn học này trang bị cho sinh viên kiến thức chuyên sâu về kỹ năng làm bài Nói và Viết trong kỳ thi TOEIC. Nội dung gồm những hướng dẫn kỹ năng và kiến thức hỗ trợ như từ vựng, ngữ pháp, phát âm, cấu trúc câu cùng tư duy phản biện khi trả lời phần Nói và viết bài luận. Ngoài ra, môn học còn cung cấp các chiến thuật hữu ích cho bài thi TOEIC Nói và Viết."
292,"Môn học Tin-Sinh học có mã là IE401. Nội dung chủ yếu của môn học này liên quan đến việc ứng dụng các công nghệ như toán học ứng dụng, tin học, thống kê, khoa học máy tính, trí tuệ nhân tạo, hóa học và hóa sinh nhằm giải quyết các vấn đề trong lĩnh vực sinh học. Môn học bao gồm các nội dung chính sau: Sinh học phân tử; Tổng quan về một số cơ sở dữ liệu sinh học trên Internet; Thuật toán giải quyết một số bài toán căn bản trong lĩnh vực Tin-Sinh học; Kỹ thuật xây dựng phần mềm ứng dụng Tin-Sinh học."
293,"Môn Thiết bị mạng và truyền thông ĐPT, có mã môn học là NT121, bao gồm các nội dung chính:
- Cấu trúc và hướng dẫn thiết lập các thiết bị như bộ chuyển mạch, bộ định tuyến...
- Thuật toán định tuyến phổ biến: RIP, OSPF...
- Mạng cục bộ ảo (VLAN)
- Hướng dẫn cấu hình danh sách kiểm soát truy cập
- NAT, PAT
- Các phương pháp kết nối mạng WAN
- Công nghệ đa phương tiện và các chuẩn
- Ứng dụng của truyền thông đa phương tiện"
294,"Môn học Tiếng Nhật 5 được ký hiệu là JAN05, trang bị sinh viên trình độ tiếng Nhật Trung cấp 1 ( đầu N3) với các kỹ năng nghe, nói, đọc, viết tương ứng. Môn học cũng giúp nâng cao khả năng vận dụng tiếng Nhật vào giao tiếp."
295,"Môn học Mô hình hóa dữ liệu, quy trình và đối tượng có mã số IEM5723, được thiết kế để cung cấp cho sinh viên các kỹ thuật và công cụ mô hình hóa tiên tiến. Môn học này hướng dẫn sinh viên về cách nắm bắt, thể hiện và giải quyết các yêu cầu và thiết kế hệ thống phần mềm bằng cách sử dụng Ngôn ngữ Mô hình Hợp nhất (UML). Các chủ đề cốt lõi được khám phá bao gồm sơ đồ trường hợp sử dụng, sơ đồ lớp, sơ đồ trình tự, phương pháp phân tích thiết kế hướng đối tượng, kế thừa, nguyên tắc tái sử dụng và kỹ thuật phân tích nhu cầu ứng dụng."
296,"Môn CS4343, Cấu trúc dữ liệu và giải thuật, sẽ giới thiệu các khái niệm về tổ chức lưu trữ, các cấu trúc dữ liệu, thao tác với cấu trúc dữ liệu và thông tin, xử lý danh sách, cây, đồ thị, tìm kiếm và sắp xếp."
297,"Môn học Công nghệ .NET mang mã lớp SE310, bao gồm các kiến thức cốt lõi: kiến trúc, nền tảng công nghệ .Net; kỹ năng và phương pháp lập trình hướng đối tượng trong .Net; tích hợp công nghệ (C#) và hệ quản trị CSDL để xây dựng hệ thống quản lý. Ngoài ra, học phần còn cung cấp hướng tiếp cận chuyên sâu trong phát triển ứng dụng với công nghệ .Net."
298,"Môn học Mật mã học được gọi là NT219. Nội dung bài học gồm: lịch sử mã hóa, lý thuyết thông tin cơ bản, mã khóa và mã xác thực thông điệp, mã khóa công khai và chữ ký, hàm băm một chiều, định nghĩa và chứng minh các đặc tính bảo mật, hệ thống nhận dạng và giao thức kiến ​​thức không bằng không, cũng như cơ sở hạ tầng khóa công khai."
299,"Môn học Công nghệ Portal có mã học phần SE343 cung cấp một tổng quan sâu sắc về công nghệ Portal. Nội dung của môn học tập trung vào việc triển khai Hệ thống quản lý nội dung mã nguồn mở GateIn, một lựa chọn học phần cho sinh viên Khoa học máy tính trong một học kỳ. Cấu trúc của môn học bao gồm hai phần chính: Phần đầu tiên giới thiệu về các khái niệm và hệ thống Portal trên thị trường quốc tế, trong khi Phần thứ hai tập trung vào việc khám phá chi tiết GateIn và cách phát triển ứng dụng trên nền tảng này."
300,"Môn học Giới thiệu Công nghệ Thông tin, mang ký hiệu IE005, cung cấp kiến thức tổng quan về:"
301,"Môn học Toán rời rạc cho máy tính có mã môn học là CS3653. Tóm tắt nội dung môn học như sau: Môn học này giới thiệu về các thuật toán đệ quy, các phương pháp tìm kiếm và sắp xếp thông dụng, cách tổ chức chương trình, lập trình bộ nhớ động, danh sách liên kết đơn, kế thừa, đa hình, xử lý ngoại lệ, stack, queue, vectors, cây... Ngoài ra, môn học cũng phân tích toán học về độ phức tạp không gian và thời gian, tình huống xấu nhất và tình huống trung bình."
302,"Môn học CE332 là môn Thiết kế vi mạch hỗn hợp. Tóm tắt nội dung môn học như sau: Môn học này trình bày kiến thức cơ bản về thiết kế vi mạch hỗn hợp, bao gồm cấu trúc cơ bản của một hệ thống vi mạch hỗn hợp và các thành phần cơ bản của hệ thống như Opamps, D/A converters, S/H circuit, Analog Switches, Comparator, PLL, ... Ngoài ra, môn học cũng giới thiệu các phương pháp phân tích, thiết kế, mô phỏng và layout các thành phần hoặc mạch hỗn hợp ở mức CMOS. Cuối cùng, môn học cũng có các bài thực hành để giúp sinh viên hiểu rõ hơn lý thuyết và có cái nhìn thực tế về thiết kế vi mạch hỗn hợp."
303,"Mã môn học CE103 là môn học Vi xử lý-vi điều khiển. Tóm tắt nội dung môn học như sau: ▪ Môn học sẽ truyền đạt kiến thức về khái niệm, kiến trúc và nguyên lý hoạt động của một bộ vi xử lý, kiến thức về bộ vi xử lý x86 và các phương thức điều khiển dữ liệu ra vào bộ vi xử lý. Đồng thời, môn học sẽ giới thiệu về các bộ vi xử lý hiện đại.▪ Môn học cũng cung cấp kiến thức về một bộ vi điều khiển, trong đó bộ vi điều khiển X51 sẽ được nghiên cứu sâu về giao tiếp với thiết bị và lập trình."
304,"Môn học CS4153 Phát triển ứng dụng trên nền tảng di động đề cập đến các chủ đề sau: nền tảng máy tính di động phổ quát, lập trình nhạy cảm theo ngữ cảnh, hệ điều hành Android và kỹ thuật lập trình Android. Ngoài ra, môn học cũng khám phá các kỹ thuật lập trình nâng cao như đa luồng, đa nhiệm, kết nối SQLite và dịch vụ web. Cuối cùng, học phần giới thiệu khái niệm đa nền tảng (PhoneGap) để xây dựng ứng dụng tương thích với nhiều hệ điều hành di động khác nhau, chẳng hạn như iOS, Android,…"
305,"Sinh viên tốt nghiệp chương trình Cử nhân chính quy ngành Kỹ thuật phần mềm phải đáp ứng các yêu cầu: - Có kiến thức cơ bản vững vàng, trình độ chuyên môn giỏi, kỹ năng phát triển phần mềm chuyên nghiệp, có năng lực nghiên cứu và tư duy sáng tạo.- Nắm vững quy trình xây dựng phát triển phần mềm, có khả năng triển khai xây dựng các hệ thống ứng dụng tin học và phân tích, thiết kế xây dựng các phần mềm có giá trị thực tiễn cao, có tính sáng tạo. - Có trình độ tiếng Anh tốt, có thể giao tiếp, làm việc với các chuyên gia, đồng nghiệp nước ngoài. - Khóa luận tốt nghiệp có thể ươm mầm cho các phần mềm trong tương lai."
306,"Môn học có mã CS3423 là Cấu trúc tập tin. Tóm tắt nội dung môn học như sau: Trình bày các đặc điểm vật lý cơ bản của các thiết bị lưu trữ. Các phương pháp xử lý và tổ chức tập tin cho các tập tin tuần tự, trực tiếp, lập chỉ mục, cấu trúc cây, nghịch đảo. Áp dụng các khái niệm cấu trúc dữ liệu vào việc tổ chức tập tin vật lý và logic. Phân tích hiệu năng. Các thành phần của các hệ CSDL nâng cao."
307,"Môn học ACCT5123 có tên là Hoạch định nguồn lực doanh nghiệp. Nội dung môn học tóm tắt như sau: Môn học này cung cấp kiến thức về hệ thống quản lý nguồn lực ERP trong tổ chức và nhiệm vụ thách thức của quản lý HTTT (IS). Môn học này cũng giới thiệu các thành phần chính của ERP. Qua đó, sinh viên có thể nhận thấy tầm quan trọng của ERP, điều kiện triển khai về công nghệ, qui mô và phạm vi hoạt động của tổ chức/doanh nghiệp. Sinh viên sẽ được thực hành các hệ thống SAP, ECC, Odo. SAP là nhà cung cấp phần mềm hàng đầu thế giới được thiết kế để tích hợp tất cả các khía cạnh hoạt động của công ty, giúp công ty duy trì lợi thế cạnh tranh trên thị trường."
308,"Môn học có tên CS229 là môn học về Ngữ nghĩa học tính toán. Mục tiêu của môn học này là cung cấp kiến thức và kỹ năng cho sinh viên về việc sử dụng các phương pháp và kỹ thuật phân tích và tính toán ngữ nghĩa. Nội dung của môn học tập trung vào việc xử lý ngữ nghĩa của câu và văn bản. Đối với sinh viên hệ Cử nhân Tài năng, môn học này cung cấp các bài tập lý thuyết và thực hành để nâng cao phương pháp và kỹ thuật xử lý ngữ nghĩa."
309,"Môn học Lý thuyết Automat và Ứng dụng, mã môn là CS414, giới thiệu cho sinh viên các khái niệm cơ bản về lý thuyết này. Trên nền tảng đó, môn học hướng dẫn sinh viên cách ứng dụng lý thuyết vào việc phát triển ngôn ngữ lập trình và trình dịch (bao gồm bộ phận phân tích từ vựng và cú pháp trong trình biên dịch). Ngoài ra, môn học còn đề cập đến ứng dụng của lý thuyết trong thiết kế các hệ thống số, bao gồm: mạch tuần tự, mạch đếm, máy trạng thái và bộ điều khiển."
310,"Môn NT106 mang tên ""Lập trình mạng căn bản"". Môn học này được thiết kế riêng cho sinh viên Khoa Mạng máy tính và viễn thông, cung cấp các kiến thức cơ bản về:
- Thiết kế và lập trình chương trình Client Server
- Các khái niệm cơ bản về ứng dụng mạng, giao thức
- Các kỹ thuật phát triển ứng dụng độc tuyến/đa tuyến/phát sóng
- Phân tán ứng dụng bằng nhiều phương pháp khác nhau, bao gồm cả Web services, .NET remoting, RMI và CORBA"
311,"Môn học Cấu trúc rời rạc, ký hiệu mã môn là MA004, là một môn học nằm trong khối kiến thức đại cương bắt buộc đối với toàn thể sinh viên. Nội dung môn học tập trung vào các kiến thức căn bản về Toán rời rạc (bao gồm logic, phương pháp đếm, quan hệ, đại số Bool, hàm Bool) và Lý thuyết đồ thị (khái niệm cơ bản, đường đi, chu trình, cây). Môn học này cũng là một trong những môn thi đầu vào bậc sau đại học khối ngành công nghệ thông tin, giúp sinh viên trang bị kiến thức và kỹ năng giải quyết các bài toán liên quan đến lĩnh vực này."
312,"Môn học có mã CS409 là Hệ suy diễn mờ. Tóm tắt nội dung môn học như sau: Môn học bao gồm 2 phần. Phần lý thuyết trình bày về các công cụ của Lý thuyết mờ như lý thuyết tập mờ, logic mờ. Phần ứng dụng bao gồm các ứng dụng của Logic mờ trong matlab, Dư báo chuỗi thời gian, Ontology mờ, Điều khiển mờ."
313,"Môn Quản trị doanh nghiệp có mã là IE202, bao quát các nguyên tắc nền tảng của quản lý kinh doanh, bao gồm kiến thức cốt lõi về quản trị học và ứng dụng công nghệ thông tin trong quản lý doanh nghiệp."
314,"Môn học ""Lập trình game trong các thiết bị di động"" có mã là SE344, trong đó, sinh viên sẽ được trang bị kiến thức để phát triển game trên các thiết bị cầm tay phổ biến như điện thoại di động, PocketPC, v.v. Khi kết thúc môn học, sinh viên sẽ hiểu rõ đặc điểm và giới hạn của các thiết bị di động trong việc chạy các chương trình game. Ngoài ra, sinh viên còn thành thạo nguyên lý hoạt động của các bộ công cụ phát triển và phương pháp chuyển đổi một game từ máy tính sang thiết bị di động."
315,"Môn Đồ án khoa học dữ liệu và ứng dụng (mã môn DS204) giúp sinh viên nắm vững quy trình thu thập, lưu trữ và xử lý dữ liệu lớn, cũng như các kỹ thuật khai thác dữ liệu từ mạng Internet để phục vụ cho mục đích xử lý dữ liệu."
316,"Môn Hệ quản trị cơ sở dữ liệu, với mã môn IS210, giới thiệu sâu rộng về các khía cạnh cốt lõi của hệ quản trị cơ sở dữ liệu (HQTCSDL), bao gồm kiến trúc, quản lý thực thể, quản lý cấu hình, tổ chức, lưu trữ, phân quyền, giao tác. Môn học đi sâu vào các khái niệm và kỹ thuật quản lý, lập trình, cơ chế quản lý truy cập đồng thời, đảm bảo an toàn và phục hồi dữ liệu khỏi sự cố, cùng với tối ưu hóa truy vấn. Đặc biệt, các giải pháp cài đặt thực tế của HQTCSDL thương mại như MS SQL Server, DB2, Oracle, MySQL,... sẽ được trình bày chi tiết trong suốt quá trình học."
317,"Môn học Truy xuất thông tin với mã môn CS419 giới thiệu những nguyên lý cơ bản của lĩnh vực truy xuất thông tin, bao gồm: các mô hình truy xuất thông tin, các kỹ thuật lập chỉ mục, mô hình không gian véc-tơ và phương pháp đánh giá hiệu quả của các mô hình. Ngoài ra, sinh viên sẽ thực hiện một đồ án môn học để áp dụng những kiến thức đã học. Mục tiêu của môn học là cung cấp cho sinh viên kiến nền trong lĩnh vực truy xuất thông tin, giúp sinh viên có khả năng triển khai các dự án thực tế dựa trên kiến thức đã tiếp thu, dưới sự hướng dẫn của giảng viên."
318,"Môn học CE105 là môn học Xử lý tín hiệu số. Môn học này nhằm cung cấp các khái niệm và kỹ thuật xử lý tín hiệu hiện đại, từ quân sự chuyên môn hóa cao đến các ứng dụng công nghiệp điện tử tiêu dùng. Sinh viên sẽ được hướng dẫn tìm hiểu chi tiết về các khái niệm sau: tín hiệu và hệ thống rời rạc theo thời gian, biểu diễn hệ thống bằng phương trình vi phân, phân tích hệ thống sử dụng biến đổi Fourier và biến đổi Z; lý thuyết lấy mẫu tín hiệu liên tục theo thời gian, phân tích các hệ thống tuyến tính bất biến theo thời gian; biến đổi Fourier rời rạc (DFT) và thuật toán FFT để tính nhanh DFT, cùng với các phương pháp phân tích phổ tín hiệu rời rạc theo thời gian; các phương pháp chính để thiết kế các bộ lọc FIR và IIR."
319,"Môn học Các công nghệ nền tảng có mã là IE102, cung cấp kiến thức nền tảng về phần cứng, phần mềm và sự tích hợp của chúng để hình thành các yếu tố thiết yếu trong hệ thống công nghệ thông tin (CNTT). Kiến thức này trang bị cho các chuyên gia CNTT khả năng lựa chọn, triển khai, tích hợp và quản lý các công nghệ để hỗ trợ cơ sở hạ tầng CNTT."
320,"Môn học mã EC331 mang tên Quản trị chiến lược kinh doanh điện tử. Nội dung của môn học xoay quanh các khái niệm cơ bản về chiến lược và cách quản trị chúng thông qua các công cụ như thẻ điểm cân bằng và bảng đồ chiến lược. Ngoài ra, học viên sẽ được tìm hiểu về cách thức hoạch định, triển khai, tổ chức và giám sát hoạt động kinh doanh điện tử theo các chiến lược đã đề ra."
321,"Môn học CE335 là môn Thiết kế dựa trên vi xử lý. Tóm tắt nội dung môn học như sau: Môn học được chia thành 2 phần chính. Phần thứ nhất là ôn lại các thành phần cơ bản của hệ vi xử lý như vi mạch vi xử lý, vi mạch bộ nhớ, vi mạch I/O. Sau đó, mở rộng giới thiệu về nguyên lý hoạt động của mạch giao tiếp của phím và nút nhấn, các bộ cảm biến và chuyển đổi A/D D/A, các bộ điều khiển động cơ, các thiết bị thông tin liên lạc, các thiết bị hiển thị, máy in. Phần thứ hai là qui trình thiết kế và biến đổi một giải thuật vận hành, điều khiển ứng với một thiết bị cụ thể thành chương trình chạy trên các hệ vi xử lý. Ngoài ra, còn tương quan về độ phức tạp thiết kế giữa phần cứng và phần mềm."
322,"Môn Đồ án có mã học phần là IE207. Tóm tắt nội dung của môn học Đồ án bao gồm: cung cấp cho sinh viên những bước khởi đầu để thực hiện thành công luận văn tốt nghiệp (bắt buộc) hoặc dự án chuyên đề (tùy chọn) trong các học kỳ chính thức. Các kỹ năng sinh viên được trang bị thông qua môn học này là: khả năng phân tích và giải quyết vấn đề, khả năng thiết kế, khả năng hiện thực và thực hành thiết kế, khả năng đánh giá, mô phỏng và thử nghiệm kết quả, khả năng trình bày và viết báo cáo theo từng giai đoạn của dự án, kỹ năng giao tiếp và làm việc nhóm, kỹ năng thuyết trình. Môn học được tiến hành trong khoảng thời gian từ 10 đến 15 tuần của một học kỳ dưới sự hướng dẫn của giảng viên mà nhóm sinh viên đã đăng ký."
